Name,"3 potential customers in US ",Address,City,Cohort,Company Analysis,Company key,Country,Description,Duplicated,Elevator Pitch,Founder,Founding Year,Funding objective,Funding raised (euros),Industry,Last edited time,LinkedIn Profile,Linkedin Page,Logo,One Pager (pdf),P. IVA,Participants,Participants' City,Phase,Pitch Deck,Pitch Deck URL,Plan to raise capital in the US?,Program,Province,Region,"Relevant Info ",Rollup,Rollup 1,Team Size,Topic Group,Total Funding,Website,ZIP Code
Cyberangels,,VIALE BIANCA MARIA 13,MILANO,C1 - AI / Metaverse / Culture & Creativity,,cyberangels,,"Cyberangels is a SaaS solution for small and medium-sized businesses (SMBs) looking to protect their businesses from cyber threats. Our comprehensive cybersecurity platform empowers SMBs to take control of their security, assess their cyber risk, and implement effective remediation plans. Plus, with awareness training courses and phishing tests, we help prevent future attacks. And in the event of a cyber incident, we help businesses recover quickly and efficiently, minimizing downtime and financial losses with cyber insurance.",No,,Andrea Toponi,2020,Between 0 and 500k,,Cybersecurity,"October 23, 2024 9:40 PM",,,,DB%20Companies/Cyberangels_CompanySummary.pdf,11505240967,Andrea Toponi (https://www.notion.so/Andrea-Toponi-9850853427fc4fe08714f3afc91ed026?pvs=21),Milano,2-SF,,,,Startup Acceleration,MI,Lombardy,,Andrea Toponi,,,,,Cyberangels.it,20122
Sirio,,VIA GRAMSCI 27,MIRANO,"C1 - AI / Metaverse / Culture & Creativity, C2 - Cybersecurity / Blockchain / IoT / Robotics",,sirio,,Sirio is an AI platform that let e-commerce managers rapidly see lost revenue and any of its causes or technological issues,No,,Mattia Zoccarato,2023,,,AI,"March 18, 2026 6:25 PM",,,,,04460350277,Mattia Zoccarato (https://www.notion.so/Mattia-Zoccarato-a54c8629f9f44c0dbe8709188c726b6e?pvs=21),Bassano del Grappa (VI),1,,,,"Startup Acceleration, Startup Bootcamp",VE,Piedmont,,Mattia Zoccarato,,,,,https://sirio.chiron.ai/en/,30035
TerraViva,,"VIA
  VALLAZZE 109",MILANO,C2 - Cybersecurity / Blockchain / IoT / Robotics,,terraviva,,"Terraviva is a platform dedicated to international architecture competitions, connecting the best architects and designers to world-class projects.",No,,"Eugenia Bolla,Stefano Lardera",2022,Between 0 and 500k,,Other,"October 23, 2024 10:31 PM",,,,DB%20Companies/Terraviva_One_Pager.pdf,12608970963,"Eugenia Bolla (https://www.notion.so/Eugenia-Bolla-9004a1250d3c40a285814f6910de9525?pvs=21), Stefano Lardera (https://www.notion.so/Stefano-Lardera-02add962efc64854a89fa0fbe40af684?pvs=21)",Milano,2-SF,,,,Startup Bootcamp,MI,Lombardy,,"Eugenia Bolla,Stefano Lardera",,,,,https://www.terravivacompetitions.com,20131
221E,,"VIA
  CESARE BATTISTI 43",ALBIGNASEGO,C1 - AI / Metaverse / Culture & Creativity,,221e,,"It offers an ecosystem of solutions for inertial, biosignal and environmental sensing, with applications on wearable products and industrial IoT.221E has customers with world-leading brands in the sports, medical and industrial machinery sectors. 221E offers solutions that integrate AI to create intelligent products.Revenue:1) license of its software products;2) sale of innovative hardware products;3) co-design contracts for customized products.",No,,Marco Signorelli,2012,Between 1M and 5M,,Hardware & Robotics,"November 12, 2024 8:52 PM",,,,DB%20Companies/221e_summary.pdf,04694180284,Marco Signorelli (https://www.notion.so/Marco-Signorelli-8e400447fbd148938f2315baa2f8c3dc?pvs=21),Padova,2-SF,,,,SMEs Traction,PD,Veneto,,Marco Signorelli,https://www.linkedin.com/in/marco-signorelli/,21,,"€1,000,000.00",www.221e.com,35020
Eligo,,VIA MASCAGNI 15,MILANO,C1 - AI / Metaverse / Culture & Creativity,,eligo,,"Personal Stylist Marketplace. Each consumer has the opportunity to be assisted in real time by an expert available online within the marketplace, creating his own personalized outfit, thus replicating a typical human experience of the store.",No,,Giulio Manno,2016,Between 5M and 15M,,Fashion-Tech,"October 23, 2024 9:46 PM",,,,DB%20Companies/Eligo_Call4Innovit_summary.pdf,09654790964,Giulio Manno (https://www.notion.so/Giulio-Manno-4164c5fda1204c5285a6d9368e4ae3c8?pvs=21),Milano,2-SF,,,,SMEs Traction,MI,Lombardy,,Giulio Manno,https://www.linkedin.com/in/giuliomanno/,,,,www.eligo.style,20121
Farzati,,FRAZ MARINA CORSO EUROPA 16,CASAL VELINO,C1 - AI / Metaverse / Culture & Creativity,,farzati,,"Development of technological solutions for tracking in Blockchain.Farzati has developed the BluDev® technology: an IT architecture present throughout the life cycle of the product which contains: typification and characterization of the origin; monitoring and learning (AI); product traceability and qualification; connection and integration to the Blockchain.BluDev®, exploiting the paradigms of the blockchain, is able to create a digital biochemical fingerprint called BFP (Bio Finger Print): a unique identifier that allows you to always identify the information of origin, type and character and quality.",No,,"Domenico Cascone,Attilio Mondelli",2014,<1M (undisclosed),,Blockchain,"October 23, 2024 10:37 PM",,https://www.linkedin.com/in/farzati-team/,,DB%20Companies/Farzati_CompanySummary.pdf,05287630650,"Domenico Cascone (https://www.notion.so/Domenico-Cascone-bb3865acaa054b87bad2559bf287c1da?pvs=21), Attilio Mondelli (https://www.notion.so/Attilio-Mondelli-2ed664afffe14e4b87be60cd6391b74f?pvs=21)",,2-SF,,,,SMEs Traction,SA,Campania,,"Domenico Cascone,Attilio Mondelli",https://www.linkedin.com/in/attilio-mondelli-b8b25970/,,,,www.farzati.it,84040
AR Market,,VIA FRATELLI CERVI 95,ROMA,C1 - AI / Metaverse / Culture & Creativity,,armarket,,"The main problem for B2B clients is how to transition to the Metaverse and how to engage their targets by educating them. The solution we offer are Gamified Virtual Spaces to explore at 360°, starting from images, videos, 3D modelling or scanning of real places. We transform Events, Shopping, Art and Training in interactive virtual experiences, device agnostic to attract users of any age target and educate them to a future in Web3 & the Metaverse. Our SaaS is a scalable platform of packaged 360° Virtual for easy onboarding, self-provisioning CMS and web integration. We offer a library of extra digital services for upselling and customization. We develop “Custom 360° Virtual"" too, to meet the needs of larger Companies and big Corporates.",No,,"Andrea Sambati,Andrea Baldini",2018,<1M (undisclosed),,Web3,"October 23, 2024 9:33 PM",,,,DB%20Companies/AR_Market_CompanySummary.pdf,14821441004,"Andrea Sambati (https://www.notion.so/Andrea-Sambati-b6bd685981564a1299484f8011af7d9a?pvs=21), Andrea Baldini (https://www.notion.so/Andrea-Baldini-6fb3b17f6cbf454eb8b79a49dccca309?pvs=21)","Lecce,Roma",2-SF,,,,Startup Acceleration,RM,Latium,,"Andrea Sambati,Andrea Baldini",,,,,armarket.it,00128
Eudata,,VIA TARCHETTI IGINIO UGO 1,MILANO,C1 - AI / Metaverse / Culture & Creativity,,eudata,,It develops technology solutions to improve Customer Experience (CX).Eudata has its own solutions and aggregates them with the AWS (Amazon Connect) offering.,No,,Sandro Parisi,1998,Between 1M and 5M,,Other,"October 23, 2024 9:47 PM",,,,DB%20Companies/Eudata_CompanySummary_Call4Innovit.pdf,12421000154,Sandro Parisi (https://www.notion.so/Sandro-Parisi-bcb8ca7b61f74d45b2b6ad2ff487d014?pvs=21),,2-SF,,,,SMEs Traction,MI,Lombardy,,Sandro Parisi,https://www.linkedin.com/in/sandroparisi/,,,,www.eudata.com,20121
Blockchain Italia,,VIA BREMBO 27,MILANO,C1 - AI / Metaverse / Culture & Creativity,,blockchainitalia,,"With years of experience and a team of specialists and professionals in the field, we offer tailored solutions to individual client needs, assisting them step by step, from the initial brief to product development and delivery. We support companies and start-ups in their approach to the Web3 world, providing all the services needed to launch a successful project. Blockchain Italia has established itself for the second consecutive year as the leading company in Italy for blockchain technology, according to the census carried out by the Polimi Observatory https://www.osservatori.net/it/ricerche/osservatori-attivi/blockchain-web3.",No,,"Michael Moresi,Benedetto Biondi",2018,Between 0 and 500k,,Blockchain,"October 23, 2024 9:23 PM",,,,DB%20Companies/Blockchain_Italia_CompanySummary.pdf,10441490967,"Michael Moresi (https://www.notion.so/Michael-Moresi-fd744d905957424bb7e5745c0a020005?pvs=21), Benedetto Biondi (https://www.notion.so/Benedetto-Biondi-11c60e5a470847ef8d6846e9e6262e58?pvs=21)",,2-SF,,,,Startup Acceleration,MI,Lombardy,,"Michael Moresi,Benedetto Biondi",,,,,https://www.blockchainitalia.io/,20139
Builti,,VIA GUELFA 5,BOLOGNA,C1 - AI / Metaverse / Culture & Creativity,,builti,,"Offering integrated services to enable structural, infrastructure and business safety managers to make informed decisions in a shorter timeframe and at a lower cost than the existing market, based on a prioritisation index, and then budget for safety.In PaaS mode, we provide manned and unmanned platforms for the civil engineering sector to a trained network of professionals on behalf of the client, returning an understandable, comparable and time- and cost-efficient structural risk/business result.",No,,"Massimo Bava,Enzo Castellaneta",2018,<1M (undisclosed),,Proptech,"October 23, 2024 10:38 PM",,,,,03735391207,"Massimo Bava (https://www.notion.so/Massimo-Bava-6aaf7ce16ade4a0799041f2afccca860?pvs=21), Enzo Castellaneta (https://www.notion.so/Enzo-Castellaneta-bebda6219a974df4be5d5660edaa063e?pvs=21)",Bologna,2-SF,,,,Startup Acceleration,BO,Emilia-Romagna,,"Massimo Bava,Enzo Castellaneta",,,,,http://www.builti.it/,40138
Wallfarm,,VIA DI TOR VERGATA 434,ROMA,C2 - Cybersecurity / Blockchain / IoT / Robotics,,wallfarm,,"A self-dosing automation system for hydroponic farms of every size, shape and form.",No,,Ares Ferrigni,2015,Between 0 and 500k,,AgriTech,"October 23, 2024 10:33 PM",,,,DB%20Companies/Wallfarm_One_Pager.pdf,13615411009,Ares Ferrigni (https://www.notion.so/Ares-Ferrigni-d2c53384ba7e40e1adf2824f2b7fb2ba?pvs=21),,2-SF,,,,SMEs Traction,RM,Latium,,Ares Ferrigni,,,,,https://wallfarm.bio/,00133
Canova Tech,,PIAZZA MARIO SAGGIN 2,PADOVA,C2 - Cybersecurity / Blockchain / IoT / Robotics,,canovatech,,"Innovative that operates in the semiconductor market, providing design and intellectual property services",No,,Riccardo Lucato,2005,Bootstrapped,,Hardware & Robotics,"October 25, 2024 7:10 PM",,,,DB%20Companies/Canova_Tech_One_Pager.pdf,04037420280,Riccardo Lucato (https://www.notion.so/Riccardo-Lucato-dad6e9c004bb4098a34f39db36c7247c?pvs=21),Gambellara (VI),2-SF,,,,SMEs Traction,PD,Veneto,,Riccardo Lucato,,27,,,https://www.canovatech.com/,35131
Futurenext,,VIA MICHELE BISCEGLIA 20,FOGGIA,C1 - AI / Metaverse / Culture & Creativity,,futurenext,,"Cloud and independent platform that allows e-commerce stores to offer their customers live customization of products.The developed tool allows the customer, before purchasing, to customize the product and have an innovative shopping experience through a 3D configurator and AR experience.",No,,Gaia Vernaglione,2016,<1M (undisclosed),,ICT,"October 23, 2024 9:59 PM",,,,DB%20Companies/FutureNext_Zakeke_Call_Summary.pdf,04075360711,Gaia Vernaglione (https://www.notion.so/Gaia-Vernaglione-008d68b6fbdc4416996ac72b1bc6294a?pvs=21),Bari,2-SF,,,,SMEs Traction,FG,Apulia,,Gaia Vernaglione,,,,,www.futurenext.it,71121
Blue Innovation,,"VIA GIOACCHINO ROSSINI, 155/E",RENDE,C2 - Cybersecurity / Blockchain / IoT / Robotics,,blueinnovation,,We develop models and strategic actions that help corporate management improve the well-being of their company.,No,,"Gabriele Zangara,Ariosto Ponterio",2022,<1M (undisclosed),,HR Tech,"October 23, 2024 10:38 PM",,,,DB%20Companies/Blue_Innovation_One_Pager.pdf,03833320785,"Gabriele Zangara (https://www.notion.so/Gabriele-Zangara-3c3311f40785476687639de7ad625531?pvs=21), Ariosto Ponterio (https://www.notion.so/Ariosto-Ponterio-ab023e83d3c14cb380c21886f1345927?pvs=21)",Cosenza,2-SF,,,,Startup Bootcamp,CS,Calabria,,"Gabriele Zangara,Ariosto Ponterio",,,,,www.blueinnovation.it,87036
Nest.City,,PIAZZA ARMANDO DIAZ 7,MILANO,C1 - AI / Metaverse / Culture & Creativity,,nest.city,,"Organizing an effective and efficient renovation service to provide mass market quality services. Architecture for all.The solution is the involvement of individual supply chain actors in a new, engineered and digitized workflow to offer new models to supply chain actors and integrated solutions to the consumer.",No,,"Francesca Di Noia,Marta Guzzon,Mario Cipriano",2019,<1M (undisclosed),,Other,"October 23, 2024 10:16 PM",,,,DB%20Companies/Nest_City_Summary.pdf,11082470961,"Francesca Di Noia (https://www.notion.so/Francesca-Di-Noia-b9a6e12fea4e4354926bc02e2edccef9?pvs=21), Marta Guzzon (https://www.notion.so/Marta-Guzzon-39799c9ca48749d7b647a879615893b8?pvs=21), Mario Cipriano (https://www.notion.so/Mario-Cipriano-7a4e5efffb3042b686dd65101080a860?pvs=21)",Torino,2-SF,,,,Startup Acceleration,MI,Lombardy,,"Francesca Di Noia,Marta Guzzon,Mario Cipriano",,,,,www.nest.city,20123
"Edge SDN ",,VIA N CORAZZA 7/7,BOLOGNA,C2 - Cybersecurity / Blockchain / IoT / Robotics,,edgesdn,,Cybersecurity product specifically designed to protect industrial IoT networks and production OT systems compliant with IEC 62443 and NIST 800.,No,,Aldo Campi,2015,<1M (undisclosed),,Cybersecurity,"March 18, 2026 6:25 PM",,,,DB%20Companies/EdgeSDN_One_Pager.pdf,03450101203,Aldo Campi (https://www.notion.so/Aldo-Campi-21067d82ad0b4659a3679867eff52bf0?pvs=21),Arezzo,2-SF,,,,SMEs Traction,BO,Emilia-Romagna,,Aldo Campi,,,,,www.edge-sdn.com,40128
"GardenStuff ",,VIA RONCHI 39,LEGNANO,C2 - Cybersecurity / Blockchain / IoT / Robotics,,gardenstuff,,"We have developed a compact AIoT multi-sensor capable of analyzing micro-environments and manage cultivation, enhancing micro and urban gardens to a new frontier of green integration.",No,,Francesco Tirinnanzi,2017,Between 0 and 500k,,AgriTech,"October 23, 2024 10:37 PM",,,,DB%20Companies/GardenStuff_One_Pager.pdf,09730010965,Francesco Tirinnanzi (https://www.notion.so/Francesco-Tirinnanzi-321ebe480b114600ada3e9383a37528a?pvs=21),Legnano (MI),2-SF,,,,SMEs Traction,MI,Lombardy,,Francesco Tirinnanzi,,,,,www.gardenstuff.it,20025
Tutored - Joiners,,VIA MARSALA 29/H,ROMA,C1 - AI / Metaverse / Culture & Creativity,,tutored-joiners,,"B2B digital platform, which digitizes corporate recruiting operations. By subscribing to an annual subscription, companies can publish job advertisements, manage analytics and start screening processes. The AI reads the published announcement and creates a qualitative match with the users, according to their wishes, academic background and skills.",No,,"Stefano Antonelli,Gabriele Giugliano",2014,Between 1M and 5M,,HR Tech,"January 29, 2025 7:48 PM",,,,,13066701007,"Stefano Antonelli (https://www.notion.so/Stefano-Antonelli-033e2e7983804a37b90acca8a604771e?pvs=21), Gabriele Giugliano (https://www.notion.so/Gabriele-Giugliano-18a65d57c009802cbc20e9daad99be4a?pvs=21)",,2-SF,,,,SMEs Traction,RM,Latium,,"Stefano Antonelli,Gabriele Giugliano",https://www.linkedin.com/in/stefanoantonelli/,,,,www.tutored.me,00185
Ada Travel,,VIA A PUNZI 101/D,GRAVINA IN PUGLIA,C1 - AI / Metaverse / Culture & Creativity,,adatravel,,"Since our inception we have been acting as an integrated service provider for the tourism industry. Until now we have done so without dedicated software. We have designed software that operates from b2b to b2c specifically on the ""scalability of tourism experiences."" Beyond its b2b functionality we propose to the market a platform where users receive a return for everything they do by interacting precisely in the Web3 logics of community engagement.Our solution goes beyond social networks and places communities at the center of value, where through technology we will make experiences scalable and central to interaction in the metaverse.",No,,"Flavio Albano,Antonio Prota",2018,<1M (undisclosed),,Other,"October 23, 2024 9:13 PM",,,,DB%20Companies/ADA_Travel_CompanySummary.pdf,08161930725,"Flavio Albano (https://www.notion.so/Flavio-Albano-ba27b6e5eac74e8bb4817a37bbb4bb30?pvs=21), Antonio Prota (https://www.notion.so/Antonio-Prota-806eabcc38b84a0689b7a30861e09869?pvs=21)",Bari,2-SF,,,,Startup Acceleration,BA,Apulia,,"Flavio Albano,Antonio Prota",,,,,www.adatravel.it,70024
Ernesto,,"VIALE
  GIUSEPPE MAZZINI 132",ROMA,C1 - AI / Metaverse / Culture & Creativity,,ernesto,,"Ernesto is the services marketplace that connects Clients with local Professionals.Ernesto's mission is to help Professionals find new clients, on the best terms ever, by revolutionizing the concept of ""Leads."" Even today, Professionals spend a lot of money and energy intercepting clients, often through pay-per-click ads or other pay-per-lead platforms, and the return is almost always less than the expense.For the first time in this market, Ernesto is offering Unlimited Contact with customers who have requested a service, providing transparency and collaborative reimbursement policies. We are transforming customer research into a simple and convenient experience. ",No,,Riccardo De Bernardinis,2016,Between 0 and 500k,,Other,"October 23, 2024 9:47 PM",,,,DB%20Companies/Ernesto_Company_Summary.pdf,13826531009,Riccardo De Bernardinis (https://www.notion.so/Riccardo-De-Bernardinis-39d5d2792f3343f2954f72c185e7eda0?pvs=21),Milano,2-SF,,,,Startup Acceleration,RM,Latium,,Riccardo De Bernardinis,https://www.linkedin.com/in/riccardo-de-bernardinis,,,,http://www.ernesto.it/,00195
Reasoned Art,,SALITA DEL NESPOLO 4,RECCO,C2 - Cybersecurity / Blockchain / IoT / Robotics,,reasonedart,,"Reasoned Art aims to elevate art by connecting physical and digital, tradition and innovation, offline and online in one app.",No,,"Giulio Bozzo,Andrea Marec",2021,Between 1M and 5M,,Blockchain,"October 23, 2024 10:24 PM",,,,DB%20Companies/Reasoned_Art_One_Pager.pdf,02721760995,"Giulio Bozzo (https://www.notion.so/Giulio-Bozzo-76b807f1750949f1a8d3307977adfb24?pvs=21), Andrea Marec (https://www.notion.so/Andrea-Marec-92499ad223f2432d9c1bf7b3028c2cc5?pvs=21)",,2-SF,,,,SMEs Traction,GE,Liguria,,"Giulio Bozzo,Andrea Marec",,,,,www.reasonedart.com,16036
Yookye,,CORSO PIAVE N 174/G,ALBA,C2 - Cybersecurity / Blockchain / IoT / Robotics,,yookye,,"Yookye is a startup established in Italy which allows the world’s travelers to follow their passion (such as art, food, culture, sports)",No,,"Alberto Chiappa,Luigi Bruno",2018,Between 0 and 500k,,Other,"March 18, 2026 6:25 PM",,,,DB%20Companies/Yookie_One_Pager.pdf,03767100047,"Alberto Chiappa (https://www.notion.so/Alberto-Chiappa-2a90e171351040d9821fe24e6a700921?pvs=21), Luigi Bruno (https://www.notion.so/Luigi-Bruno-87c3dbed49414193acffa983783ffbed?pvs=21)",,2-SF,,,,Startup Bootcamp,CN,Piedmont,,"Alberto Chiappa,Luigi Bruno",,,,,https://yookye.com/it,12051
